LocalInstallName,AppVName,WinGetName
Google Chrome,Chrome for Business 64-bit,Google.Chrome
Microsoft VisualStudioCode,,Microsoft.VisualStudioCode
PeaZip,,Giorgiotani.Peazip
7Zip,,7zip.7Zip
Notepad++,,Notepad++.Notepad++
XMind,,XMind.XMind
FileZilla Client,FileZilla,TimKosse.FileZilla.Client
FileZilla Client,FileZilla (X64),TimKosse.FileZilla.Client
Belgium e-ID viewer 5.0.19 (build 5544),,BelgianGovernment.eIDViewer
Signal,,OpenWhisperSystems.Signal
Mozilla Firefox,,Mozilla.Firefox
GanttProject,,GanttProject.GanttProject
Remote Desktop Manager Free,,Devolutions.RemoteDesktopManagerFree
